year,industry1,industry2,industry3,occupation1,retrench
2003,services,information and communications,broadcasting and publishing,"production and transport operators, cleaners and labourers",-
2003,services,information and communications,telecommunications,total,250
2003,services,information and communications,telecommunications,"professionals, managers, executives and technicians",200
2003,services,information and communications,telecommunications,"clerical, sales and services workers",50
2003,services,information and communications,telecommunications,"production and transport operators, cleaners and labourers",-
2003,services,information and communications,it and other information services,total,510
2003,services,information and communications,it and other information services,"professionals, managers, executives and technicians",460
2003,services,information and communications,it and other information services,"clerical, sales and services workers",50
2003,services,information and communications,it and other information services,"production and transport operators, cleaners and labourers",-
2003,services,financial services,financial institutions,total,1450
2003,services,financial services,financial institutions,"professionals, managers, executives and technicians",930
2003,services,financial services,financial institutions,"clerical, sales and services workers",440
2003,services,financial services,financial institutions,"production and transport operators, cleaners and labourers",90
2003,services,financial services,insurance,total,100
2003,services,financial services,insurance,"professionals, managers, executives and technicians",40
2003,services,financial services,insurance,"clerical, sales and services workers",50
2003,services,financial services,insurance,"production and transport operators, cleaners and labourers",10
2003,services,real estate and leasing services,real estate and leasing services,total,130
2003,services,real estate and leasing services,real estate and leasing services,"professionals, managers, executives and technicians",40
2003,services,real estate and leasing services,real estate and leasing services,"clerical, sales and services workers",70
2003,services,real estate and leasing services,real estate and leasing services,"production and transport operators, cleaners and labourers",30
2003,services,professionals services,"legal, accounting and management services",total,250
2003,services,professionals services,"legal, accounting and management services","professionals, managers, executives and technicians",130
2003,services,professionals services,"legal, accounting and management services","clerical, sales and services workers",100
2003,services,professionals services,"legal, accounting and management services","production and transport operators, cleaners and labourers",20
2003,services,professionals services,architectural and engineering services,total,370
2003,services,professionals services,architectural and engineering services,"professionals, managers, executives and technicians",230
2003,services,professionals services,architectural and engineering services,"clerical, sales and services workers",40
2003,services,professionals services,architectural and engineering services,"production and transport operators, cleaners and labourers",100
2003,services,professionals services,other professionals services,total,140
2003,services,professionals services,other professionals services,"professionals, managers, executives and technicians",80
2003,services,professionals services,other professionals services,"clerical, sales and services workers",30
2003,services,professionals services,other professionals services,"production and transport operators, cleaners and labourers",30
2003,services,administrative and support services,administrative and support services,total,240
2003,services,administrative and support services,administrative and support services,"professionals, managers, executives and technicians",90
2003,services,administrative and support services,administrative and support services,"clerical, sales and services workers",90
2003,services,administrative and support services,administrative and support services,"production and transport operators, cleaners and labourers",60
2003,services,"community, social and personal services",education,total,30
2003,services,"community, social and personal services",education,"professionals, managers, executives and technicians",20
2003,services,"community, social and personal services",education,"clerical, sales and services workers",10
2003,services,"community, social and personal services",education,"production and transport operators, cleaners and labourers",-
2003,services,"community, social and personal services","health, social and community services",total,30
2003,services,"community, social and personal services","health, social and community services","professionals, managers, executives and technicians",10
2003,services,"community, social and personal services","health, social and community services","clerical, sales and services workers",10
2003,services,"community, social and personal services","health, social and community services","production and transport operators, cleaners and labourers",10
2003,services,"community, social and personal services","other community, social and personal services",total,190
2003,services,"community, social and personal services","other community, social and personal services","professionals, managers, executives and technicians",40
2003,services,"community, social and personal services","other community, social and personal services","clerical, sales and services workers",90
2003,services,"community, social and personal services","other community, social and personal services","production and transport operators, cleaners and labourers",60
2003,others,others,others,total,270
2003,others,others,others,"professionals, managers, executives and technicians",120
2003,others,others,others,"clerical, sales and services workers",120
2003,others,others,others,"production and transport operators, cleaners and labourers",30
2004,total,total,total,total,10640
2004,total,total,total,"professionals, managers, executives and technicians",3450
2004,total,total,total,"clerical, sales and services workers",2300
2004,total,total,total,"production and transport operators, cleaners and labourers",4890
2004,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,140
2004,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professionals, managers, executives and technicians",40
2004,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",40
2004,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",60
2004,manufacturing,paper products and printing,paper products and printing,total,60
2004,manufacturing,paper products and printing,paper products and printing,"professionals, managers, executives and technicians",20
2004,manufacturing,paper products and printing,paper products and printing,"clerical, sales and services workers",10
2004,manufacturing,paper products and printing,paper products and printing,"production and transport operators, cleaners and labourers",40
2004,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",total,490
2004,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",180
2004,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","clerical, sales and services workers",120
2004,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",180
2004,manufacturing,rubber and plastic products,rubber and plastic products,total,410
2004,manufacturing,rubber and plastic products,rubber and plastic products,"professionals, managers, executives and technicians",40
2004,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",10
2004,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",360
2004,manufacturing,fabricated metal products,fabricated metal products,total,280
2004,manufacturing,fabricated metal products,fabricated metal products,"professionals, managers, executives and technicians",10
2004,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",30
2004,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",240
2004,manufacturing,machinery and equipment,machinery and equipment,total,360
2004,manufacturing,machinery and equipment,machinery and equipment,"professionals, managers, executives and technicians",120
2004,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",30
2004,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",210
2004,manufacturing,electrical products,electrical products,total,370
2004,manufacturing,electrical products,electrical products,"professionals, managers, executives and technicians",70
2004,manufacturing,electrical products,electrical products,"clerical, sales and services workers",20
2004,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",280
2004,manufacturing,electronic products,electronic products,total,1810
2004,manufacturing,electronic products,electronic products,"professionals, managers, executives and technicians",580
2004,manufacturing,electronic products,electronic products,"clerical, sales and services workers",150
2004,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",1080
2004,manufacturing,medical and precision instruments,medical and precision instruments,total,150
2004,manufacturing,medical and precision instruments,medical and precision instruments,"professionals, managers, executives and technicians",40
2004,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",20
2004,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",80
2004,manufacturing,transport equipment,transport equipment,total,140
2004,manufacturing,transport equipment,transport equipment,"professionals, managers, executives and technicians",30
2004,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",10
2004,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",110
2004,manufacturing,other manufacturing industries,other manufacturing industries,total,500
2004,manufacturing,other manufacturing industries,other manufacturing industries,"professionals, managers, executives and technicians",40
2004,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",30
2004,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",440
2004,construction,construction,construction,total,410
2004,construction,construction,construction,"professionals, managers, executives and technicians",100
2004,construction,construction,construction,"clerical, sales and services workers",60
2004,construction,construction,construction,"production and transport operators, cleaners and labourers",240
2004,services,wholesale and retail trade,wholesale trade,total,1040
2004,services,wholesale and retail trade,wholesale trade,"professionals, managers, executives and technicians",430
2004,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",320
2004,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",300
2004,services,wholesale and retail trade,retail trade,total,220
2004,services,wholesale and retail trade,retail trade,"professionals, managers, executives and technicians",60
2004,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",140
2004,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",10
2004,services,transport and storage,land transport and supporting services,total,50
2004,services,transport and storage,land transport and supporting services,"professionals, managers, executives and technicians",20
2004,services,transport and storage,land transport and supporting services,"clerical, sales and services workers",10
2004,services,transport and storage,land transport and supporting services,"production and transport operators, cleaners and labourers",20
2004,services,transport and storage,water transport and supporting services,total,110
2004,services,transport and storage,water transport and supporting services,"professionals, managers, executives and technicians",30
2004,services,transport and storage,water transport and supporting services,"clerical, sales and services workers",20
2004,services,transport and storage,water transport and supporting services,"production and transport operators, cleaners and labourers",60
2004,services,transport and storage,air transport and supporting services,total,800
2004,services,transport and storage,air transport and supporting services,"professionals, managers, executives and technicians",-
2004,services,transport and storage,air transport and supporting services,"clerical, sales and services workers",160
2004,services,transport and storage,air transport and supporting services,"production and transport operators, cleaners and labourers",640
2004,services,transport and storage,other transport and storage services,total,120
2004,services,transport and storage,other transport and storage services,"professionals, managers, executives and technicians",20
2004,services,transport and storage,other transport and storage services,"clerical, sales and services workers",40
2004,services,transport and storage,other transport and storage services,"production and transport operators, cleaners and labourers",60
2004,services,hotels and restaurants,hotels,total,330
2004,services,hotels and restaurants,hotels,"professionals, managers, executives and technicians",80
2004,services,hotels and restaurants,hotels,"clerical, sales and services workers",220
2004,services,hotels and restaurants,hotels,"production and transport operators, cleaners and labourers",30
2004,services,hotels and restaurants,restaurants,total,270
2004,services,hotels and restaurants,restaurants,"professionals, managers, executives and technicians",10
2004,services,hotels and restaurants,restaurants,"clerical, sales and services workers",220
2004,services,hotels and restaurants,restaurants,"production and transport operators, cleaners and labourers",40
2004,services,information and communications,broadcasting and publishing,total,120
2004,services,information and communications,broadcasting and publishing,"professionals, managers, executives and technicians",90
2004,services,information and communications,broadcasting and publishing,"clerical, sales and services workers",20
2004,services,information and communications,broadcasting and publishing,"production and transport operators, cleaners and labourers",-
2004,services,information and communications,telecommunications,total,170
2004,services,information and communications,telecommunications,"professionals, managers, executives and technicians",60
2004,services,information and communications,telecommunications,"clerical, sales and services workers",110
2004,services,information and communications,telecommunications,"production and transport operators, cleaners and labourers",-
2004,services,information and communications,it and other information services,total,210
2004,services,information and communications,it and other information services,"professionals, managers, executives and technicians",190
2004,services,information and communications,it and other information services,"clerical, sales and services workers",20
2004,services,information and communications,it and other information services,"production and transport operators, cleaners and labourers",-
2004,services,financial services,financial institutions,total,940
2004,services,financial services,financial institutions,"professionals, managers, executives and technicians",680
2004,services,financial services,financial institutions,"clerical, sales and services workers",190
2004,services,financial services,financial institutions,"production and transport operators, cleaners and labourers",70
2004,services,financial services,insurance,total,80
2004,services,financial services,insurance,"professionals, managers, executives and technicians",40
2004,services,financial services,insurance,"clerical, sales and services workers",40
2004,services,financial services,insurance,"production and transport operators, cleaners and labourers",-
2004,services,real estate and leasing services,real estate and leasing services,total,90
2004,services,real estate and leasing services,real estate and leasing services,"professionals, managers, executives and technicians",20
2004,services,real estate and leasing services,real estate and leasing services,"clerical, sales and services workers",20
2004,services,real estate and leasing services,real estate and leasing services,"production and transport operators, cleaners and labourers",60
2004,services,professionals services,"legal, accounting and management services",total,130
2004,services,professionals services,"legal, accounting and management services","professionals, managers, executives and technicians",70
2004,services,professionals services,"legal, accounting and management services","clerical, sales and services workers",50
2004,services,professionals services,"legal, accounting and management services","production and transport operators, cleaners and labourers",10
2004,services,professionals services,architectural and engineering services,total,90
2004,services,professionals services,architectural and engineering services,"professionals, managers, executives and technicians",80
2004,services,professionals services,architectural and engineering services,"clerical, sales and services workers",10
2004,services,professionals services,architectural and engineering services,"production and transport operators, cleaners and labourers",-
2004,services,professionals services,other professionals services,total,40
2004,services,professionals services,other professionals services,"professionals, managers, executives and technicians",30
2004,services,professionals services,other professionals services,"clerical, sales and services workers",10
2004,services,professionals services,other professionals services,"production and transport operators, cleaners and labourers",-
2004,services,administrative and support services,administrative and support services,total,100
2004,services,administrative and support services,administrative and support services,"professionals, managers, executives and technicians",20
2004,services,administrative and support services,administrative and support services,"clerical, sales and services workers",30
2004,services,administrative and support services,administrative and support services,"production and transport operators, cleaners and labourers",50
2004,services,"community, social and personal services",education,total,70
2004,services,"community, social and personal services",education,"professionals, managers, executives and technicians",30
2004,services,"community, social and personal services",education,"clerical, sales and services workers",30
2004,services,"community, social and personal services",education,"production and transport operators, cleaners and labourers",10
2004,services,"community, social and personal services","health, social and community services",total,10
2004,services,"community, social and personal services","health, social and community services","professionals, managers, executives and technicians",10
2004,services,"community, social and personal services","health, social and community services","clerical, sales and services workers",10
2004,services,"community, social and personal services","health, social and community services","production and transport operators, cleaners and labourers",-
2004,services,"community, social and personal services","other community, social and personal services",total,220
2004,services,"community, social and personal services","other community, social and personal services","professionals, managers, executives and technicians",30
2004,services,"community, social and personal services","other community, social and personal services","clerical, sales and services workers",110
2004,services,"community, social and personal services","other community, social and personal services","production and transport operators, cleaners and labourers",80
2004,others,others,others,total,310
2004,others,others,others,"professionals, managers, executives and technicians",160
2004,others,others,others,"clerical, sales and services workers",20
2004,others,others,others,"production and transport operators, cleaners and labourers",130
2005,total,total,total,total,11150
2005,total,total,total,"professionals, managers, executives and technicians",3360
2005,total,total,total,"clerical, sales and services workers",1390
2005,total,total,total,"production and transport operators, cleaners and labourers",6400
2005,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,90
2005,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professionals, managers, executives and technicians",10
2005,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",20
2005,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",60
2005,manufacturing,paper products and printing,paper products and printing,total,60
2005,manufacturing,paper products and printing,paper products and printing,"professionals, managers, executives and technicians",-
2005,manufacturing,paper products and printing,paper products and printing,"clerical, sales and services workers",-
2005,manufacturing,paper products and printing,paper products and printing,"production and transport operators, cleaners and labourers",60
2005,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",total,150
2005,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",60
2005,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","clerical, sales and services workers",20
2005,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",70
2005,manufacturing,rubber and plastic products,rubber and plastic products,total,670
2005,manufacturing,rubber and plastic products,rubber and plastic products,"professionals, managers, executives and technicians",60
2005,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",30
2005,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",590
2005,manufacturing,fabricated metal products,fabricated metal products,total,440
2005,manufacturing,fabricated metal products,fabricated metal products,"professionals, managers, executives and technicians",50
2005,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",30
2005,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",360
2005,manufacturing,machinery and equipment,machinery and equipment,total,390
2005,manufacturing,machinery and equipment,machinery and equipment,"professionals, managers, executives and technicians",80
2005,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",50
2005,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",260
2005,manufacturing,electrical products,electrical products,total,370
2005,manufacturing,electrical products,electrical products,"professionals, managers, executives and technicians",70
2005,manufacturing,electrical products,electrical products,"clerical, sales and services workers",140
2005,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",160
2005,manufacturing,electronic products,electronic products,total,4300
2005,manufacturing,electronic products,electronic products,"professionals, managers, executives and technicians",890
2005,manufacturing,electronic products,electronic products,"clerical, sales and services workers",120
2005,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",3290
2005,manufacturing,medical and precision instruments,medical and precision instruments,total,80
2005,manufacturing,medical and precision instruments,medical and precision instruments,"professionals, managers, executives and technicians",10
2005,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",10
2005,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",60
2005,manufacturing,transport equipment,transport equipment,total,30
2005,manufacturing,transport equipment,transport equipment,"professionals, managers, executives and technicians",10
2005,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",-
2005,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",20
2005,manufacturing,other manufacturing industries,other manufacturing industries,total,500
2005,manufacturing,other manufacturing industries,other manufacturing industries,"professionals, managers, executives and technicians",40
2005,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",30
2005,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",430
2005,construction,construction,construction,total,540
2005,construction,construction,construction,"professionals, managers, executives and technicians",120
2005,construction,construction,construction,"clerical, sales and services workers",50
2005,construction,construction,construction,"production and transport operators, cleaners and labourers",380
2005,services,wholesale and retail trade,wholesale trade,total,860
2005,services,wholesale and retail trade,wholesale trade,"professionals, managers, executives and technicians",470
2005,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",170
2005,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",230
2005,services,wholesale and retail trade,retail trade,total,120
2005,services,wholesale and retail trade,retail trade,"professionals, managers, executives and technicians",30
2005,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",60
2005,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",30
2005,services,transport and storage,land transport and supporting services,total,30
2005,services,transport and storage,land transport and supporting services,"professionals, managers, executives and technicians",20
2005,services,transport and storage,land transport and supporting services,"clerical, sales and services workers",-
2005,services,transport and storage,land transport and supporting services,"production and transport operators, cleaners and labourers",10
2005,services,transport and storage,water transport and supporting services,total,50
2005,services,transport and storage,water transport and supporting services,"professionals, managers, executives and technicians",10
2005,services,transport and storage,water transport and supporting services,"clerical, sales and services workers",20
2005,services,transport and storage,water transport and supporting services,"production and transport operators, cleaners and labourers",20
2005,services,transport and storage,air transport and supporting services,total,60
2005,services,transport and storage,air transport and supporting services,"professionals, managers, executives and technicians",20
2005,services,transport and storage,air transport and supporting services,"clerical, sales and services workers",40
2005,services,transport and storage,air transport and supporting services,"production and transport operators, cleaners and labourers",-
2005,services,transport and storage,other transport and storage services,total,160
2005,services,transport and storage,other transport and storage services,"professionals, managers, executives and technicians",30
2005,services,transport and storage,other transport and storage services,"clerical, sales and services workers",40
2005,services,transport and storage,other transport and storage services,"production and transport operators, cleaners and labourers",90
2005,services,hotels and restaurants,hotels,total,-
2005,services,hotels and restaurants,hotels,"professionals, managers, executives and technicians",-
2005,services,hotels and restaurants,hotels,"clerical, sales and services workers",-
2005,services,hotels and restaurants,hotels,"production and transport operators, cleaners and labourers",-
2005,services,hotels and restaurants,restaurants,total,80
2005,services,hotels and restaurants,restaurants,"professionals, managers, executives and technicians",10
2005,services,hotels and restaurants,restaurants,"clerical, sales and services workers",50
2005,services,hotels and restaurants,restaurants,"production and transport operators, cleaners and labourers",20
2005,services,information and communications,broadcasting and publishing,total,180
2005,services,information and communications,broadcasting and publishing,"professionals, managers, executives and technicians",170
2005,services,information and communications,broadcasting and publishing,"clerical, sales and services workers",20
2005,services,information and communications,broadcasting and publishing,"production and transport operators, cleaners and labourers",-
2005,services,information and communications,telecommunications,total,320
2005,services,information and communications,telecommunications,"professionals, managers, executives and technicians",200
2005,services,information and communications,telecommunications,"clerical, sales and services workers",120
2005,services,information and communications,telecommunications,"production and transport operators, cleaners and labourers",10
2005,services,information and communications,it and other information services,total,150
2005,services,information and communications,it and other information services,"professionals, managers, executives and technicians",130
2005,services,information and communications,it and other information services,"clerical, sales and services workers",10
2005,services,information and communications,it and other information services,"production and transport operators, cleaners and labourers",10
2005,services,financial services,financial institutions,total,670
2005,services,financial services,financial institutions,"professionals, managers, executives and technicians",400
2005,services,financial services,financial institutions,"clerical, sales and services workers",180
2005,services,financial services,financial institutions,"production and transport operators, cleaners and labourers",80
2005,services,financial services,insurance,total,20
2005,services,financial services,insurance,"professionals, managers, executives and technicians",10
2005,services,financial services,insurance,"clerical, sales and services workers",10
2005,services,financial services,insurance,"production and transport operators, cleaners and labourers",-
2005,services,real estate and leasing services,real estate and leasing services,total,80
2005,services,real estate and leasing services,real estate and leasing services,"professionals, managers, executives and technicians",10
2005,services,real estate and leasing services,real estate and leasing services,"clerical, sales and services workers",20
2005,services,real estate and leasing services,real estate and leasing services,"production and transport operators, cleaners and labourers",60
2005,services,professionals services,"legal, accounting and management services",total,110
2005,services,professionals services,"legal, accounting and management services","professionals, managers, executives and technicians",80
2005,services,professionals services,"legal, accounting and management services","clerical, sales and services workers",20
2005,services,professionals services,"legal, accounting and management services","production and transport operators, cleaners and labourers",10
2005,services,professionals services,architectural and engineering services,total,210
2005,services,professionals services,architectural and engineering services,"professionals, managers, executives and technicians",110
2005,services,professionals services,architectural and engineering services,"clerical, sales and services workers",80
2005,services,professionals services,architectural and engineering services,"production and transport operators, cleaners and labourers",20
2005,services,professionals services,other professionals services,total,30
2005,services,professionals services,other professionals services,"professionals, managers, executives and technicians",20
2005,services,professionals services,other professionals services,"clerical, sales and services workers",-
2005,services,professionals services,other professionals services,"production and transport operators, cleaners and labourers",-
2005,services,administrative and support services,administrative and support services,total,70
2005,services,administrative and support services,administrative and support services,"professionals, managers, executives and technicians",30
2005,services,administrative and support services,administrative and support services,"clerical, sales and services workers",20
2005,services,administrative and support services,administrative and support services,"production and transport operators, cleaners and labourers",20
2005,services,"community, social and personal services",education,total,10
2005,services,"community, social and personal services",education,"professionals, managers, executives and technicians",10
2005,services,"community, social and personal services",education,"clerical, sales and services workers",-
2005,services,"community, social and personal services",education,"production and transport operators, cleaners and labourers",-
2005,services,"community, social and personal services","health, social and community services",total,220
2005,services,"community, social and personal services","health, social and community services","professionals, managers, executives and technicians",180
2005,services,"community, social and personal services","health, social and community services","clerical, sales and services workers",20
2005,services,"community, social and personal services","health, social and community services","production and transport operators, cleaners and labourers",30
2005,services,"community, social and personal services","other community, social and personal services",total,80
2005,services,"community, social and personal services","other community, social and personal services","professionals, managers, executives and technicians",30
2005,services,"community, social and personal services","other community, social and personal services","clerical, sales and services workers",20
2005,services,"community, social and personal services","other community, social and personal services","production and transport operators, cleaners and labourers",20
2005,others,others,others,total,20
2005,others,others,others,"professionals, managers, executives and technicians",10
2005,others,others,others,"clerical, sales and services workers",10
2005,others,others,others,"production and transport operators, cleaners and labourers",-
2006,total,total,total,total,13090
2006,total,total,total,"professionals, managers, executives and technicians",3790
2006,total,total,total,"clerical, sales and services workers",1460
2006,total,total,total,"production and transport operators, cleaners and labourers",7840
2006,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,140
2006,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professionals, managers, executives and technicians",30
2006,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",60
2006,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",50
2006,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",total,260
2006,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing","professionals, managers, executives and technicians",40
2006,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing","clerical, sales and services workers",40
2006,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",170
2006,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",total,110
2006,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",30
2006,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","clerical, sales and services workers",30
2006,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",50
2006,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",total,1120
2006,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment","professionals, managers, executives and technicians",180
2006,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment","clerical, sales and services workers",70
2006,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",880
2006,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",total,6630
2006,manufacturing,"electronic, computer and optical products","electronic, computer and optical products","professionals, managers, executives and technicians",1730
2006,manufacturing,"electronic, computer and optical products","electronic, computer and optical products","clerical, sales and services workers",170
2006,manufacturing,"electronic, computer and optical products","electronic, computer and optical products","production and transport operators, cleaners and labourers",4730
2006,manufacturing,transport equipment,transport equipment,total,110
2006,manufacturing,transport equipment,transport equipment,"professionals, managers, executives and technicians",20
2006,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",-
2006,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",80
2006,manufacturing,other manufacturing industries,other manufacturing industries,total,500
2006,manufacturing,other manufacturing industries,other manufacturing industries,"professionals, managers, executives and technicians",40
2006,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",40
2006,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",410
2006,construction,construction,construction,total,490
2006,construction,construction,construction,"professionals, managers, executives and technicians",70
2006,construction,construction,construction,"clerical, sales and services workers",20
2006,construction,construction,construction,"production and transport operators, cleaners and labourers",400
2006,services,wholesale and retail trade,wholesale trade,total,960
2006,services,wholesale and retail trade,wholesale trade,"professionals, managers, executives and technicians",470
2006,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",210
2006,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",280
2006,services,wholesale and retail trade,retail trade,total,60
2006,services,wholesale and retail trade,retail trade,"professionals, managers, executives and technicians",10
2006,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",10
2006,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",40
2006,services,transportation and storage,land transport and supporting services,total,30
2006,services,transportation and storage,land transport and supporting services,"professionals, managers, executives and technicians",10
2006,services,transportation and storage,land transport and supporting services,"clerical, sales and services workers",20
2006,services,transportation and storage,land transport and supporting services,"production and transport operators, cleaners and labourers",-
2006,services,transportation and storage,water transport and supporting services,total,100
2006,services,transportation and storage,water transport and supporting services,"professionals, managers, executives and technicians",30
2006,services,transportation and storage,water transport and supporting services,"clerical, sales and services workers",50
2006,services,transportation and storage,water transport and supporting services,"production and transport operators, cleaners and labourers",20
2006,services,transportation and storage,air transport and supporting services,total,150
2006,services,transportation and storage,air transport and supporting services,"professionals, managers, executives and technicians",20
2006,services,transportation and storage,air transport and supporting services,"clerical, sales and services workers",130
2006,services,transportation and storage,air transport and supporting services,"production and transport operators, cleaners and labourers",-
2006,services,transportation and storage,other transport and storage services,total,140
2006,services,transportation and storage,other transport and storage services,"professionals, managers, executives and technicians",10
2006,services,transportation and storage,other transport and storage services,"clerical, sales and services workers",20
2006,services,transportation and storage,other transport and storage services,"production and transport operators, cleaners and labourers",100
2006,services,accommodation and food services,accommodation,total,90
2006,services,accommodation and food services,accommodation,"professionals, managers, executives and technicians",10
2006,services,accommodation and food services,accommodation,"clerical, sales and services workers",50
2006,services,accommodation and food services,accommodation,"production and transport operators, cleaners and labourers",30
